编号,开始答题时间,结束答题时间,答题时长,地理位置国家和地区,地理位置省,地理位置市,自定义字段,IP,UA,Referrer,1.Please enter your unique ID， which can be found in the 'FPSExp/FPSGame/ShootingGame/Test/IDConfirm.txt' file within the experiment game folder.,2.How familiar are you with FPS Games?,3.Your Gender,4.Age： Which category includes yours?,5.Please share your gaming experience with us.,6.Do you have any suggestions for our game?
34,2023/4/21 1:26,2023/4/21 1:30,230,中国,广东省,湛江市,,120.237.236.134,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	10158234",B.somewhat familiar,B.Male,C.21-29,很容易迷路，方向感很差,添加色彩，射击距离优化
33,2023/4/20 23:11,2023/4/20 23:13,124,中国,广东省,湛江市,,183.236.187.200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	51173997",C.very familiar,B.Male,B.18-20,有点太单调,可以尝试换弹的动作加上
32,2023/4/20 22:44,2023/4/20 22:47,179,中国,广东省,湛江市,,183.236.187.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	62230021",B.somewhat familiar,B.Male,C.21-29,游戏第一次玩有神秘感，但是任务太简单,游戏可以多怎加一些任务。以及多一点刺激，惊喜
31,2023/4/20 22:35,2023/4/20 22:37,110,中国,广东省,湛江市,,183.236.187.195,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	25055258",B.somewhat familiar,B.Male,B.18-20,反馈感一般，UI界面简单，引导较差,推出难度选择适合一些
30,2023/4/20 22:29,2023/4/20 22:32,173,中国,广东省,湛江市,,183.236.187.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	31270375",B.somewhat familiar,B.Male,B.18-20,一般般，没有很大的惊喜,增加下蹲，静步，开镜等功能
29,2023/4/20 21:31,2023/4/20 22:03,1931,中国,广东省,湛江市,,183.236.172.194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	55113541",B.somewhat familiar,B.Male,B.18-20,我觉得这次的游戏体验很一般，毕竟如今的射击游戏相同类型的有很多，I think this game experience is very average， after all， there are many shooters of the same genre today,游戏缺少打击感，没有自动换弹，没有地图显示，还需要优化。The game lacks a sense of blow， no automatic reloading， no map display， and needs to be optimized.
28,2023/4/20 21:02,2023/4/20 21:26,1425,中国,广东省,湛江市,,58.252.133.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	82776025",B.somewhat familiar,B.Male,C.21-29,My experience with the game was not great. The randomness of the enemy generation is too great. I don’t know where the enemies will be produced. Sometimes there are more and sometimes less. You can only pass the level by luck. The reaction speed of the enemy is too fast， and every time the player encounters the enemy facing the player， it is too late to dodge. If this happens every time， if you are not lucky， you will not be able to pass the level.我对游戏的体验并不好。 敌代的随机性太大了。 我不知道敌人会在哪里产生。 有时多，有时少。 你只能靠运气通过关卡。 敌人的反应速度太快了，玩家每次遇到面对自己的敌人，都来不及躲闪。 如果每次都出现这种情况，运气不好的话是过不了关的。,There is still a lot of room for optimization in this game:1. The randomness of enemy production is too large， it will become a game of luck.2. The enemy reacts too quickly. Every time the player encounters an enemy facing the player， he will be hit before he has time to avoid it. He can only pass the game by luck.3. The enemy will not be refreshed every time the player dies.4. There is no reloading action when the firearm is reloaded， and the reloading is completed in an instant， and there is no reloading time.5. There is no feedback when the bullet hits the enemy， and there is no feedback when the bullet hits the enemy.6. When the player dies， it can still be operated during the time of the death prompt; the enemy's attack does not stop when the player dies， or the enemy's attack may stop， but the sound effect is still there.7. When the enemy is attacking， there is no action performance， making it difficult for the player to judge whether the enemy is attacking.这个游戏还有很多可以优化的地方：1、敌人生产的随机性太大，会变成一个运气游戏。2、敌人反应太快，每次玩家遇到面向玩家的敌人没来得及躲避就已经被打到，只能凭运气通关游戏。3、每次玩家死亡后，敌人不会刷新。4、枪械装弹时没有填弹动作，填弹在一瞬间完成，没有填弹时间。5、子弹打到敌人没有受击反馈，敌人的子弹打到自己也没有受击反馈。6、玩家死亡时，在死亡提示的时间里仍然可以操作；敌人的攻击在玩家死亡时没有停止，也可能是敌人攻击停止了，但是音效还在。7、敌人在攻击时，没有动作表现，让玩家难以判断敌人是否在攻击。
27,2023/4/19 14:28,2023/4/19 14:41,765,中国,广东省,湛江市,,183.236.187.211,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	75192372",B.somewhat familiar,B.Male,B.18-20,The robot reacted so fast that it didn't even see it and started shooting me，The shooting accuracy is not enough， it is too floating， and the angle of view of the right mouse button is also unfriendlymy teacher is yi Xia,1，The sense of blow does not work 2，Can't see the bullet change， so you can shoot all the time， if I keep pressing the R key，3，Add some tactical moves such as squatting and left and right probes
26,2023/4/19 10:41,2023/4/19 10:56,890,中国,广东省,湛江市,,183.236.187.207,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	37256123",B.somewhat familiar,B.Male,C.21-29,声效有延迟，准心不准，抠掉吧；突击步枪的设置吧，冲锋枪的水准；换弹没动作，太快了，不够真实；看上去是射击游戏，其实更像是找出口；AI不会追击目标，不会走位；但是总体还算流畅，声效也还行，但是可能对运行内存的要求比较大；画面感还行，就是看起来有点像我的世界的感觉；结束点设置得太固定了，容易找到，地图也是固定的，没有变化；AI还会打到自己人，是真的笑死，但也真实；有时候还剩两滴血就噶了，这不怎么好吧。,首先，要把地图弄大点，然后再加个小地图也行，显示玩家位置；结束点最好是随机设置在不同地方刷新，不一定一定要在房子外面，房子里面的某个房间也行，最好是在去结束点的必经之路上加上多点的AI防御；AI设置走位，别打到自己人；武器最好设置种类；要么把准心做好点，要么把准心抠掉，瞄准了子弹也打不准没意思的哈；换弹最好是有动作，真实点；地图建模好看真实点，不要看起来像‘我的世界’一样；AI都有蹲下动作了，玩家也整一个。
25,2023/4/19 0:13,2023/4/19 0:18,309,中国,广东省,湛江市,,183.236.187.207,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 SLBrowser/8.0.1.3162 SLBChan/103",,"	18189548",C.very familiar,A.Female,C.21-29,可能地图限制，打多了会累，而且地图原因，有些地方敌人会多。,血量出现负数，还有音效与画面对不上，容易卡。
24,2023/4/18 23:52,2023/4/19 0:04,727,中国,广东省,湛江市,,183.236.187.207,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	75409955",B.somewhat familiar,A.Female,B.18-20,游戏操作并不难，很多细节部分就很折磨，比如敌人血量不显示，命中的光标显示也很小，游戏音效很大，我带耳机只能开8%已经很响。找到的时候进橙色烟雾就会卡一下，点击画面才恢复正常（也可能是自己加载好就不卡了），通关之后点击下一关还可以继续，又玩了两关才退出。中途卡死过一次，重新进游戏之后存档还在。,感觉双方血量可以优化，游戏音效可以小一点，而且敌人的行动音效没有，很容易没注意位置被打死，受伤血量减小也可以增加音效；卡机的问题感觉也需要优化，进入下一关就会卡一下；瞄准感觉可以高亮一下能瞄准到敌人，命中的提示可以更明显。
23,2023/4/18 23:41,2023/4/18 23:53,703,中国,广东省,湛江市,,183.236.187.210,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	13226832",C.very familiar,A.Female,B.18-20,流程很短，很多关卡重复，并且敌人的反应太过灵敏。,第一，敌人的脚步几乎听不见，全程只听得到自己的脚步，可以将敌人移动时的音效强化一下。第二，敌人的反应太过灵敏，可以延长敌人的攻击判定时间，使游戏更合理。第三，烟雾出现的位置并不随机，只出现在几个固定的地点。人物在一楼重生，则烟雾在二楼，人物在二楼重生则与此相反。太容易找到规律的游戏，关卡太过相似，让人玩起来很疲惫。
22,2023/4/18 23:10,2023/4/18 23:18,479,中国,广东省,湛江市,,183.236.187.204,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 SLBrowser/8.0.1.3162 SLBChan/103",,"	41593149",A.unfamiliar,A.Female,B.18-20,机器人看到人会躲避，反应迅速，还不错。在游戏体验中，总是被界面卡住，并且无法关闭页面，只能重新打开页面，并且画面根本不会动，而且声音和动作有很大的延迟，画面有点简陋，看太久容易头晕。,画面需要再美化一下，并且bug有点多，希望可以改进。
21,2023/4/18 19:23,2023/4/18 19:26,224,中国,广东省,湛江市,,183.236.172.194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	20554874",A.unfamiliar,A.Female,B.18-20,晃的我头晕，而且墙壁用格子很乱，声音有延迟，容易迷路,墙壁可以换成纯色的，可以加多一个小地图，方便看自己的位置。
20,2023/4/17 23:50,2023/4/17 23:55,307,中国,广东省,湛江市,,183.236.187.207,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.46",,"	99323479",C.very familiar,B.Male,B.18-20,攻击有点单调，ai人数有点多，游戏的交互性少，物理体验欠缺,优化流畅度，多加入一些动作和武器，美工需要改进
19,2023/4/17 23:43,2023/4/17 23:50,440,中国,广东省,湛江市,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	56817608",C.very familiar,B.Male,C.21-29,因为没有地图不知道在哪里通关，死了好多次，浪费我时间,关卡没有地图，没有通关位置，没下蹲键，机器人走路没有脚步声，没有各种武器
18,2023/4/17 20:38,2023/4/17 21:40,3719,中国,广东省,湛江市,,183.236.187.194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	55682191",B.somewhat familiar,B.Male,C.21-29,玩起来一般，有一点点像CF之类的游戏，会掉帧，很容易会死机，画面更不上声音，跳跃射击时候开火键莫名其妙失灵，有时莫名其妙的掉血,优化一下整个游戏，优化一下画质，操作也要升级，不应该只有前后左右运动，射击换弹瞄准，还要有下蹲等等操作，击杀敌人时候还有一些特效
17,2023/4/17 20:08,2023/4/17 20:20,681,中国,广东省,湛江市,,183.236.187.207,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	38560016",A.unfamiliar,B.Male,C.21-29,死机非常严重，游戏退出不了的感觉，只有一直下一关，有卡墙bug，掉血太严重了吧！敌我战力·差距明显，人物行走动作有时会卡枪（打不出子弹），有时卡顿不流畅，为啥没有下蹲动作（敌人有），音频有时跟不上。,关键是死机的太多了，增加下蹲动作，子弹数量可以多一点，卡墙无伤bug这边建议测试一下（因为很少出现，几率应该不大）
16,2023/4/17 19:35,2023/4/17 19:58,1352,中国,广东省,湛江市,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	54763473",B.somewhat familiar,B.Male,C.21-29,因为本身对射击类有点兴趣，所以玩起来还算自然愉快，虽然之前没有玩过电脑游戏，对按键操作比较陌生，需要慢慢适应。总的来说，玩起来还算可以，但场景有些许单调，同时还存在着较大的改进空间。,"以下是我体验该游戏后给出的参考建议：1.	显示敌人数量和淘汰数量，且显示第一层和第二层的敌人剩余人数，不然打了敌人后不知道该层还有没有敌人，就只能一直找，直到确认没有，很耗费玩家时间，体验上就会大打折扣。2.	可以在敌人靠近时能够听到敌人的脚步声，同时加入地图后，听到敌人脚步声时在地图上未展开时显示明显的脚印。3.	可以打完敌人后提示烟雾出现或直接出现弹窗显示通关进入下一关，防止玩家耗费过多的时间。4.	可以设置专门的倍镜，因为右键放大，同时也要射击的话，操作起来难以对焦，比较难受。5.	可能实验时间关系，画面有些简陋，例如墙壁和地板色系单调幽暗、敌人衣服完全一样，看起来有点乏味。6.	可以在屏幕最上方增加一行的360度方位指示7.	生命值出现了-5的bug。8.	应该配备两把枪（方便打完一把枪后，快速切换）和自动换弹。9.	射击敌人时，可以增加在敌人身上显示血色或其他颜色的效果，视觉效果看起来更符合射击类游戏的认知。10.	增加第三人称视角，有利于扩大两侧视野角度。"
15,2023/4/17 19:47,2023/4/17 19:52,311,中国,广东省,湛江市,,183.236.187.194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	98945668",B.somewhat familiar,B.Male,B.18-20,地图一开始不熟悉，容易迷路，有一关通完关，下一关的按钮失灵，只能重新启动。,游戏页面单调，可以尝试更多的操作，比如下蹲，换枪等。换子弹也要加上相应的动作这样游戏的体验感会更好。
14,2023/4/16 22:42,2023/4/16 22:55,819,中国,广东省,湛江市,,183.236.187.208,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",,"	66549303",A.unfamiliar,A.Female,B.18-20,1.不知道怎么上手。新手教程没有不知道怎么通关，比如说第一关我不知道黄色烟雾可以进入下一关，以为要把人都打完了就可以自动进入下一关，所以找了很久都没有找到一个人。2.游戏体验感觉有点晕头转向。因为我平时不怎么玩枪击类游戏，但是给我的第一感觉真的很晕，因为没有地图，墙壁的花纹也有点花，一不小心把鼠标晃偏了就更晕了。还有就是我能感觉出游戏的时延是比较低的，方便画面转移，但是也是导致晕头转向的因素之一。我在玩到第二关的时候实在是晕的不行，玩不下去了，让我舍友替我玩，结果她也晕了，后面又换我来。但是我第二次上手熟悉之后就感觉没有那么晕了，但是新上手不适应真的晕。3.我有注意到游戏显示死亡之后，画面还没跳转，还能射击。,1.把壁纸花纹换一个，不要挑一个容易晕的花纹。2.可以适当引导玩家下一步该干嘛（比如可以在第一关射击到一定程度后让玩家去寻找黄色烟雾进入下一关）。
13,2023/4/16 21:55,2023/4/16 22:03,464,中国,广东省,湛江市,,183.236.187.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",,"	15922231",B.somewhat familiar,B.Male,B.18-20,体验还行，子弹偶尔会穿模，躲在障碍物后面还是会被打扣血。,可以在游戏里面加入下蹲动作，还有可以给个药包。脚步和枪声的音效方面还需要改善，脚步踏在地板和草地上的音效应设计成不同。打击画面还有可以提高。换弹可以设计一些动画，在体验过程中，那个子弹用完后是不会自动换弹的，这个你们可以设计一下，当子弹用完后可以自动换弹。加油。
12,2023/4/16 21:21,2023/4/16 21:32,692,中国,广东省,湛江市,,120.237.236.134,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",,"	22830846",A.unfamiliar,B.Male,B.18-20,fps游戏操作应该更加多一点，其次fps游戏里面音效是很重要的，玩游戏下来我感觉耳朵要炸了，脚步声都一样，没有区分度，而且太刺耳了有点，自己的和对面的都一样的声音，根本听不出来。还有击中的反馈可以更加明显点，其次就是人机的射击逻辑单一，感觉向回合制一样，你打我一下，我打你一下，人机还是必中的，我感觉我才是人机。,音效的改变，击中反馈，人机的射击逻辑，还有画面吧，人物动作也有点怪怪的，但说不上来哪儿怪
11,2023/4/16 18:40,2023/4/16 18:43,189,中国,广东省,湛江市,,183.236.187.219,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",,"	13942874",C.very familiar,B.Male,C.21-29,在一楼就往上走，在二楼就往下走，靠右走，遇到敌人就横扫，五分钟速通。,太简单啦，每关的敌人都不会刷新，可以拿命堆；敌人死了似乎还能当子弹。
10,2023/4/16 16:47,2023/4/16 16:50,219,中国,广东省,湛江市,,183.236.187.201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",,"	24785806",C.very familiar,B.Male,B.18-20,玩的很晕，不能调灵敏度，，游戏体验一般,希望可以调灵敏度，人物单一，枪必须要按右键瞄准才好打到人，不按右键打远距离的敌人很难打到
9,2023/4/16 13:57,2023/4/16 14:00,205,中国,广东省,湛江市,,120.237.246.194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",,"	57995647",B.somewhat familiar,B.Male,C.21-29,这款FPS游戏可以充分激发玩家的竞争精神和反应能力，在游戏中获得很强的快感和成就感。同时，这款游戏能够营造出紧张刺激的氛围，吸引着不断地探索和挑战。,继续加油，可以更好！
8,2023/4/16 12:13,2023/4/16 12:23,602,中国,广东省,湛江市,,120.237.246.194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",,"	36714856",C.very familiar,B.Male,B.18-20,玩法上过于简单，只有一个目标，fps游戏的要素大概就是音效，打击感和枪械弹道击中敌人的反馈缺乏音效，打击感是通过准星变化来反馈没有什么问题，在射击时如果进行腰射基本上没有后坐力，瞄准时又产生了后坐力，枪械弹道过小，而且规律太随机，进行扫射时非常不稳定。,如果是写实fps游戏，应该多贴合现实的物理引擎，类似csgo，战地，r6等游戏如果是比较有特色的fps游戏，应该突出枪械或者玩法上的特别之处，例如传送门
7,2023/4/16 12:02,2023/4/16 12:07,327,中国,广东省,湛江市,,183.236.187.219,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",,"	83281058",C.very familiar,B.Male,C.21-29,有时候会卡死，没有打中人的特效、换子弹特效、子弹轨迹、小地图。可玩性尚可，移动不够灵活,加强人物灵活性，增加打中人的特效，还有灵敏度调整这些功能。
6,2023/4/16 9:53,2023/4/16 9:56,166,中国,广东省,湛江市,,183.236.187.195,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.46",,"	21422780",A.unfamiliar,B.Male,C.21-29,无,可以增加一个小地图功能，显示一下敌人血量，显示受到攻击方向提示，多增加点武器
5,2023/4/14 23:58,2023/4/15 0:07,530,中国,广东省,湛江市,,183.236.187.210,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.62",,"	54873586",C.very familiar,C.Prefer not to say,C.21-29,When I first encountered an enemy， I found it difficult because I couldn't regenerate， but when I realized that the enemy wouldn't refresh after rebirth， the game was no longer difficult. Secondly， there were no unique features in the music， and the sense of impact was not very strong. The model needed to be optimized， and there were no bugs or fewer bugs， which were both advantages and disadvantages. The absence of bugs was an advantage in itself， but it indirectly reflected the low complexity of the game， Secondly， there is no innovation in the mechanism， which needs to be improved.,It is recommended to enhance the interactivity of characters or scenes， such as allowing characters to perform more actions or skills， what events can be triggered by some objects in the scene， etc. Secondly， the model can be replaced with more refined ones， and the dynamic effects in the scene can be improved， such as making leaves shake and adding light chasing to improve realism.
4,2023/4/11 21:32,2023/4/11 21:38,372,中国,广东省,湛江市,,14.210.3.188,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.34",,"	90249255",C.very familiar,B.Male,C.21-29,部分关卡音量有些大，系统音量调为了56，脚步声有些突兀，感到不是特别舒服。打击感有些欠缺。,增加一定的变化，增强射击的打击感。
3,2023/3/12 15:27,2023/3/12 15:33,402,中国,上海市,上海市,,58.35.213.223,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0",,"	55321018",A.unfamiliar,B.Male,D.30-39,每把枪的射程和伤害有区别每个机器人的行动路径、反应时间有不同在攻击后机器人之间的有些有联动反应，比如射击后附近的队友会协同射击每把枪在射击后打中的部位伤害有区别机器人的视距、范围有不同,比上一作强多了。可以参考合金装备的反馈设定，2333
2,2023/3/8 3:25,2023/3/8 3:27,112,委内瑞拉,,,,190.94.212.75,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",,"	39978337",B.somewhat familiar,B.Male,F.50-59,The game was fun， I did not like that the sound effects were better in the first try and from there kept being less noticeable.,Use as much sound effect as your can.
1,2023/2/28 2:57,2023/2/28 2:58,81,巴西,,,,177.65.33.11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.57",,"	39978337",C.very familiar,B.Male,D.30-39,more of the same， nothing new on the game.,its hard to know the goal
